Point:60	Drone:3	minCost:1316.54
cost 95.159 sec
The 1-th drone path:center	57	15	10	41	55	39	36	47	48	18	43	44	20	4	11	28	56	23	21	3	center
The 2-th drone path:center	7	12	52	30	1	24	37	50	35	17	58	59	29	27	0	16	8	51	26	49	center
The 3-th drone path:center	32	42	14	13	5	46	25	54	31	45	19	2	40	38	6	53	9	34	22	33	center
The calculate state:
times:1,currentCost:6567.98
times:2,currentCost:6179.67
times:3,currentCost:5754.95
times:4,currentCost:6817.91
times:5,currentCost:5939.92
times:6,currentCost:6542.27
times:7,currentCost:6255.89
times:8,currentCost:6077.85
times:9,currentCost:6761.88
times:10,currentCost:6412.05
times:11,currentCost:6185.03
times:12,currentCost:6041.82
times:13,currentCost:6457.88
times:14,currentCost:6450.36
times:15,currentCost:6272.02
times:16,currentCost:6373.72
times:17,currentCost:6135.33
times:18,currentCost:6039.63
times:19,currentCost:6172.46
times:20,currentCost:6881.87
times:21,currentCost:5943.3
times:22,currentCost:5905.97
times:23,currentCost:5781.33
times:24,currentCost:6184.33
times:25,currentCost:6250.4
times:26,currentCost:5561.36
times:27,currentCost:5890.5
times:28,currentCost:5997.95
times:29,currentCost:5988.43
times:30,currentCost:5635.48
times:31,currentCost:6387.85
times:32,currentCost:6657.18
times:33,currentCost:6343.18
times:34,currentCost:6669.4
times:35,currentCost:6428.36
times:36,currentCost:6738.13
times:37,currentCost:5732.33
times:38,currentCost:6228.21
times:39,currentCost:6345.85
times:40,currentCost:5968.69
times:41,currentCost:6335.32
times:42,currentCost:6480.65
times:43,currentCost:6410.2
times:44,currentCost:6524.62
times:45,currentCost:6094.42
times:46,currentCost:6136.85
times:47,currentCost:6290.98
times:48,currentCost:5848.98
times:49,currentCost:6733.27
times:50,currentCost:6429.71
times:51,currentCost:6152.86
times:52,currentCost:6592.37
times:53,currentCost:6206.73
times:54,currentCost:6626.38
times:55,currentCost:6582.53
times:56,currentCost:6513.21
times:57,currentCost:6442.35
times:58,currentCost:5786.96
times:59,currentCost:6410.05
times:60,currentCost:6384.75
times:61,currentCost:6120.38
times:62,currentCost:6413.42
times:63,currentCost:6982.62
times:64,currentCost:6283.86
times:65,currentCost:6099.65
times:66,currentCost:6447.94
times:67,currentCost:6056.67
times:68,currentCost:5983.13
times:69,currentCost:6033.62
times:70,currentCost:5997.06
times:71,currentCost:6734.08
times:72,currentCost:6720.97
times:73,currentCost:6492.36
times:74,currentCost:6351
times:75,currentCost:6596.67
times:76,currentCost:6255.93
times:77,currentCost:6210.92
times:78,currentCost:5808.63
times:79,currentCost:6495.79
times:80,currentCost:6478.2
times:81,currentCost:6959.34
times:82,currentCost:6149.42
times:83,currentCost:5783.27
times:84,currentCost:6130.15
times:85,currentCost:6290.72
times:86,currentCost:5862.85
times:87,currentCost:6786.29
times:88,currentCost:6357.22
times:89,currentCost:6464.89
times:90,currentCost:5746.02
times:91,currentCost:6207.29
times:92,currentCost:6879.24
times:93,currentCost:5974.82
times:94,currentCost:6484.75
times:95,currentCost:6922.24
times:96,currentCost:6260.41
times:97,currentCost:6263.92
times:98,currentCost:6115.29
times:99,currentCost:5549.77
times:100,currentCost:6114.47
times:101,currentCost:5629.16
times:102,currentCost:6267.42
times:103,currentCost:6114.98
times:104,currentCost:5701.41
times:105,currentCost:7120.94
times:106,currentCost:6811.22
times:107,currentCost:6198.18
times:108,currentCost:6418.05
times:109,currentCost:6187.64
times:110,currentCost:6111.17
times:111,currentCost:5563.81
times:112,currentCost:6504.14
times:113,currentCost:6643.45
times:114,currentCost:5379.1
times:115,currentCost:6383.97
times:116,currentCost:5702.83
times:117,currentCost:6130.92
times:118,currentCost:6203.89
times:119,currentCost:6223.3
times:120,currentCost:6381.53
times:121,currentCost:6171.79
times:122,currentCost:6544.02
times:123,currentCost:5700.2
times:124,currentCost:6734.68
times:125,currentCost:6630.2
times:126,currentCost:6531.32
times:127,currentCost:6156.92
times:128,currentCost:6590.88
times:129,currentCost:5955.86
times:130,currentCost:6650.13
times:131,currentCost:6413.54
times:132,currentCost:5791.99
times:133,currentCost:5933.89
times:134,currentCost:5920.01
times:135,currentCost:6090.45
times:136,currentCost:6272.35
times:137,currentCost:5653.93
times:138,currentCost:6330.3
times:139,currentCost:6446.24
times:140,currentCost:5912.7
times:141,currentCost:5923.16
times:142,currentCost:6577.89
times:143,currentCost:6511.94
times:144,currentCost:6756.83
times:145,currentCost:6862.93
times:146,currentCost:6642.34
times:147,currentCost:6490.35
times:148,currentCost:5604.91
times:149,currentCost:6096.47
times:150,currentCost:6088.97
